🎬 Titre;📅 Année;🏷️ Type;🎯 Thème;🏟️ Club-sélection;👥 Personnages clés;Date diffusion;📺 Diffuseur;🗣️ Langue;Qualité;⏳ Durée (min);🎞️ Série-Collection;Commentaires sur fichier
Coupe du Monde 1998 - Le parcours de l'équipe de France jusqu'à la finale;1998;Compilation, Rétrospective;Coupe du monde 1998, Parcours, Équipe de France;France;Aimé Jacquet, Didier Deschamps, Lilian Thuram, Zinedine Zidane;;Eurosport;Français;AVI;0;;Récapitulatif du parcours des Bleus jusqu'à la finale.
La France dans la rue;1998;Archive TV, Reportage;Coupe du monde 1998, Ferveur populaire, Finale, Supporters, Équipe de France;France;Aimé Jacquet, Didier Deschamps, Lilian Thuram, Zinedine Zidane;;TF1;Français;MP4;0;;Reportage centré sur la liesse populaire 
En route vers la victoire;1998;Documentaire, Rétrospective;Coupe du monde 1998, Parcours, Équipe de France;France;Aimé Jacquet, Didier Deschamps, Lilian Thuram, Zinedine Zidane;;France Télévisions;Français;MP4;0;;Titre issu du fichier 
Émois d'un mois;1998;Documentaire, Rétrospective;Coupe du monde 1998, Société, Supporters, Équipe de France;France;Aimé Jacquet, Didier Deschamps, Lilian Thuram, Zinedine Zidane;;France 2;Français;MP4;0;;Rétrospective de la période de la Coupe du monde 
Champions du monde : la France en fête;1998;Reportage, Rétrospective;Coupe du monde 1998, Ferveur populaire, Finale, Supporters, Équipe de France;Brésil, France;Aimé Jacquet, Didier Deschamps, Emmanuel Petit, Fabien Barthez, Ronaldo Nazário, Zinedine Zidane;;;Français;AVI;0;;Reportage de Marc Bessou, produit spécialement pour la vidéo, tourné le jour de la finale et lors des célébrations.
On est les champions;1998;Documentaire, Reportage;Coupe du monde 1998, Ferveur populaire, Finale, Supporters, Équipe de France;Brésil, France;Aimé Jacquet, Didier Deschamps, Emmanuel Petit, Fabien Barthez, Ronaldo Nazário, Zinedine Zidane;;Canal+;Français;AVI;0;;Documentaire de Patrick Menais construit à partir de vidéos amateurs de supporters lors du 12 juillet 1998.
France 98 - La France en fête;1998;Reportage, Rétrospective;Coupe du monde 1998, Ferveur populaire, Finale, Supporters, Équipe de France;Brésil, France;Aimé Jacquet, Didier Deschamps, Emmanuel Petit, Fabien Barthez, Ronaldo Nazário, Zinedine Zidane;;;Français;TS;0;;Titre générique 
France 98 Aimé Jacquet après la victoire en 14 de finale Archive INA;1998;Archive TV;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;Aimé Jacquet;;;Français;;2;;Archive INA.
France 98 fête Aimé Jacquet à Thônes Archive INA;1998;Archive TV;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;Aimé Jacquet;;;Français;;2;;Archive INA.
La stratégie d'Aimé Jacquet pour France 98 Archive INA;1998;Archive TV;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;Aimé Jacquet;;;Français;;2;;Archive INA.
20h France 2 du 19 juin 1998 Zidane suspendu pour la Coupe du Monde Archive INA;1998;Archive TV;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;Zinédine Zidane;19/06/1998;France 2;Français;;38;Journal de France 2;Archive INA.
Qui est Zinédine Zidane Archive INA;1998;Archive TV;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;Zinédine Zidane;;;Français;;2;;Archive INA.
Téléfoot - (1998 Novembre avec Jean Pierre Papin);1998;Magazine TV;Magazine football;;Jean-Pierre Papin;;TF1;Français;;0;Téléfoot;
